SOMAMER_ID,UniProt,TargetFullName,Target
JAKMIP3.9068.17.3,Q5VZ66,Janus kinase and microtubule-interacting protein 3,JKIP3
JAM2.2997.8.1,P57087,Junctional adhesion molecule B,JAM-B
JAM3.2998.53.2,Q9BX67,Junctional adhesion molecule C,JAM-C
JPH1.6940.18.3,Q9HDC5,Junctophilin-1,JPH1
JPH3.9089.77.3,Q8WXH2,Junctophilin-3,JPH3
JTB.9038.12.3,O76095,Protein JTB,JTB
JUN.10356.21.3,P05412,Transcription factor AP-1,c-Jun
KAL1.6603.18.3,P23352,Anosmin-1,KALM
KAT6A.2865.77.2,Q92794,Histone acetyltransferase KAT6A,MOZ
KCNA10.13042.7.3,Q16322,Potassium voltage-gated channel subfamily A member 10,KCA10
KCNAB2.10015.119.3,Q13303,Voltage-gated potassium channel subunit beta-2,KCAB2
KCNE2.10427.2.3,Q9Y6J6,Potassium voltage-gated channel subfamily E member 2,KCNE2
KCNE3.8067.21.3,Q9Y6H6,Potassium voltage-gated channel subfamily E member 3,KCNE3
KCNE5.8756.41.3,Q9UJ90,Potassium voltage-gated channel subfamily E regulatory beta subunit 5,KCE1L
KCNE5.8908.14.3,Q9UJ90,Potassium voltage-gated channel subfamily E regulatory beta subunit 5,KCE1L
KCNF1.12834.3.3,Q9H3M0,Potassium voltage-gated channel subfamily F member 1,KCNF1
KCNG4.13525.17.3,Q8TDN1,Potassium voltage-gated channel subfamily G member 4,KCNG4
KCNIP1.13650.11.3,Q9NZI2,Kv channel-interacting protein 1,KCIP1
KCNIP3.10513.13.3,Q9Y2W7,Calsenilin,CSEN
KCNN1.13539.131.3,Q92952,Small conductance calcium-activated potassium channel protein 1,KCNN1
KCT2.6365.62.3,Q8NC54,Keratinocyte-associated transmembrane protein 2,KCT2
KCTD5.12473.48.3,Q9NXV2,BTB/POZ domain-containing protein KCTD5,KCTD5
KDELC2.8296.117.3,Q7Z4H8,KDEL motif-containing protein 2,KDEL2
KDR.3651.50.5,P35968,Vascular endothelial growth factor receptor 2,VEGF sR2
KEL.7070.25.4,P23276,Kell blood group glycoprotein,KELL
KIAA0040.14603.51.3,J3QR46,Uncharacterized protein KIAA0040,KIAA0040
KIAA0319.10013.34.3,Q5VV43,Dyslexia-associated protein KIAA0319,K0319
KIAA0319L.13698.28.3,Q8IZA0,Dyslexia-associated protein KIAA0319-like protein,K319L
KIAA1024.9075.121.3,Q9UPX6,UPF0258 protein KIAA1024,K1024
KIAA1161.8068.43.3,Q6NSJ0,Uncharacterized family 31 glucosidase KIAA1161,K1161
KIAA1161.8093.13.3,Q6NSJ0,Uncharacterized family 31 glucosidase KIAA1161,K1161
KIAA1324.10637.50.3,Q6UXG2,UPF0577 protein KIAA1324,K1324
KIAA1324.9097.5.3,Q6UXG2,UPF0577 protein KIAA1324,K1324
KIAA1324L.8363.18.3,A8MWY0,UPF0577 protein KIAA1324-like,K132L
KIAA1467.7892.132.3,A2RU67,Uncharacterized protein KIAA1467,K1467
KIAA2013.6538.90.3,Q8IYS2,Uncharacterized protein KIAA2013,K2013
KIF16B.11672.17.3,Q96L93,Kinesin-like protein KIF16B,KI16B
KIF1C.9899.28.3,O43896,Kinesin-like protein KIF1C,KIF1C
KIF23.5228.25.2,Q02241,Kinesin-like protein KIF23,KIF23
KIN.13476.16.3,O60870,DNA/RNA-binding protein KIN17,KIN17
KIN.14643.27.3,O60870,DNA/RNA-binding protein KIN17,KIN17
KIR2DL2.7773.20.3,P43627,Killer cell immunoglobulin-like receptor 2DL2,KI2L2
KIR2DL4.5095.7.3,Q99706,Killer cell immunoglobulin-like receptor 2DL4,KI2L4
KIR2DL4.9245.1.3,Q99706,Killer cell immunoglobulin-like receptor 2DL4,KI2L4
KIR2DL5A.7799.3.3,Q8N109,Killer cell immunoglobulin-like receptor 2DL5A,KI2LA
KIR2DL5A.8000.17.3,Q8N109,Killer cell immunoglobulin-like receptor 2DL5A,KI2LA
KIR2DS2.10428.1.3,P43631,Killer cell immunoglobulin-like receptor 2DS2,KI2S2
KIR3DL2.5096.51.3,P43630,Killer cell immunoglobulin-like receptor 3DL2,KI3L2
KIR3DL3.7944.1.3,Q8N743,Killer cell immunoglobulin-like receptor 3DL3,KI3L3
KIR3DS1.5097.14.3,Q14943,Killer cell immunoglobulin-like receptor 3DS1,KI3S1
KIRREL2.7958.15.3,Q6UWL6,Kin of IRRE-like protein 2,KIRR2
KIRREL2.9917.16.3,Q6UWL6,Kin of IRRE-like protein 2,KIRR2
KIRREL3.4557.61.2,Q8IZU9,Kin of IRRE-like protein 3,KIRR3
KIT.2475.1.3,P10721,Mast/stem cell growth factor receptor Kit,SCF sR
KITLG.9377.25.3,P21583,Kit ligand,SCF
KLHL12.12695.62.3,Q53G59,Kelch-like protein 12,KLH12
KLHL13.12463.7.3,Q9P2N7,Kelch-like protein 13,KLH13
KLK11.2831.29.1,Q9UBX7,Kallikrein-11,Kallikrein 11
KLK12.3199.54.2,Q9UKR0,Kallikrein-12,kallikrein 12
KLK14.3681.87.3,Q9P0G3,Kallikrein-14,kallikrein 14
KLK14.8620.56.3,Q9P0G3,Kallikrein-14,kallikrein 14
KLK15.6491.59.3,Q9H2R5,Kallikrein-15,kallikrein 15
KLK3.8468.19.3,P07288,Prostate-specific antigen,PSA
KLK4.2833.20.1,Q9Y5K2,Kallikrein-4,Kallikrein 4
KLK5.14039.33.3,Q9Y337,Kallikrein-5,kallikrein 5
KLK5.3201.49.2,Q9Y337,Kallikrein-5,kallikrein 5
KLK6.3450.4.2,Q92876,Kallikrein-6,Kallikrein 6
KLK7.3378.49.2,P49862,Kallikrein-7,Kallikrein 7
KLK8.13708.56.3,O60259,Kallikrein-8,kallikrein 8
KLK8.2834.54.1,O60259,Kallikrein-8,kallikrein 8
KLRC1.5629.58.3,P26715,NKG2-A/NKG2-B type II integral membrane protein,NKG2A
KLRC3.11571.75.3,Q07444,NKG2-E type II integral membrane protein,NKG2E
KLRC3.7795.14.3,Q07444,NKG2-E type II integral membrane protein,NKG2E
KLRF1.5098.79.3,Q9NZS2,Killer cell lectin-like receptor subfamily F member 1,KLRF1
KLRF1.7756.37.3,Q9NZS2,Killer cell lectin-like receptor subfamily F member 1,KLRF1
KLRK1.14095.1.3,P26718,NKG2-D type II integral membrane protein,NKG2D
KLRK1.3056.11.1,P26718,NKG2-D type II integral membrane protein,NKG2D
KMT2C.11402.17.3,Q8NEZ4,Histone-lysine N-methyltransferase 2C,KMT2C
KPNA2.2860.19.2,P52292,Importin subunit alpha-1,Karyopherin-a2
KPNA4.12698.72.3,O00629,Importin subunit alpha-3,IMA4
KRAS.5193.51.3,P01116,GTPase KRas,K-ras
KREMEN1.6512.68.3,Q96MU8,Kremen protein 1,KREM1
KREMEN2.3202.28.2,Q8NCW0,Kremen protein 2,KREM2
KRT17.12923.51.3,Q04695,"Keratin, type I cytoskeletal 17",Keratin 17
KRT18.5354.11.3,P05783,"Keratin, type I cytoskeletal 18",Keratin 18
KRT20.12975.11.3,P35900,"Keratin, type I cytoskeletal 20",Keratin 20
KRT5.11177.16.3,P13647,"Keratin, type II cytoskeletal 5",K2C5
KRT7.11383.41.3,P08729,"Keratin, type II cytoskeletal 7",Keratin 7
KRTAP2.4.14615.46.3,Q9BYR9,Keratin-associated protein 2-4,KRA24
KRTDAP.5739.75.3,P60985,Keratinocyte differentiation-associated protein,KTDAP
KYNU.4559.64.2,Q16719,Kynureninase,KYNU
L1CAM.4246.40.2,P32004,Neural cell adhesion molecule L1,NCAM-L1
LAD1.6407.63.3,O00515,Ladinin-1,LAD1
LAG3.5099.14.3,P18627,Lymphocyte activation gene 3 protein,LAG-3
LAG3.9950.229.3,P18627,Lymphocyte activation gene 3 protein,LAG-3
LAIR1.11284.24.3,Q6GTX8,Leukocyte-associated immunoglobulin-like receptor 1,LAIR1
LAMA1.LAMB1.LAMC1.2728.62.2,"P07942,P11047,P25391",Laminin,Laminin
LAMA4.6577.64.3,Q16363,Laminin subunit alpha-4,LAMA4
LAMC2.9580.5.3,Q13753,Laminin subunit gamma-2,Laminin gamma-2
LAMP3.9355.26.3,Q9UQV4,Lysosome-associated membrane glycoprotein 3,LAMP3
LAMTOR3.12490.92.3,Q9UHA4,Ragulator complex protein LAMTOR3,LTOR3
LARGE.7935.26.3,O95461,Glycosyltransferase-like protein LARGE1,LARGE
LAT.10551.7.3,O43561,Linker for activation of T-cells family member 1,LAT
LAT2.5613.75.3,Q9GZY6,Linker for activation of T-cells family member 2,NTAL
LAYN.2635.61.2,Q6UX15,Layilin,Layilin
LCK.3452.17.2,P06239,Tyrosine-protein kinase Lck,LCK
LCK.4560.34.2,P06239,Tyrosine-protein kinase Lck,LCK
LCMT1.4237.70.3,Q9UIC8,Leucine carboxyl methyltransferase 1,LCMT1
LCN1.11708.2.3,P31025,Lipocalin-1,LCN1
LCN10.13007.66.3,Q6JVE6,Epididymal-specific lipocalin-10,LCN10
LCN2.2836.68.2,P80188,Neutrophil gelatinase-associated lipocalin,Lipocalin 2
LCN8.5643.2.3,Q6JVE9,Epididymal-specific lipocalin-8,LCN8
LCORL.4304.18.2,Q8N3X6,Ligand-dependent nuclear receptor corepressor-like protein,"transcription factor MLR1, isoform CRA_b"
LCP1.9749.190.3,P13796,Plastin-2,L-plastin
LCT.9017.58.3,P09848,Lactase-phlorizin hydrolase,LPH
LCTL.10890.135.3,Q6UWM7,Lactase-like protein,LCTL
LDHB.3890.8.2,P07195,L-lactate dehydrogenase B chain,LDH-H 1
LDHC.9828.86.3,P07864,L-lactate dehydrogenase C chain,LDHC
LDLR.13129.40.3,P01130,Low-density lipoprotein receptor,LDLR
LDOC1.8378.3.4,O95751,Protein LDOC1,LDOC1
LECT1.9928.125.3,O75829,Leukocyte cell-derived chemotaxin 1,LECT1
LEMD1.8040.9.3,Q68G75,LEM domain-containing protein 1,LEMD1
LEP.2575.5.5,P41159,Leptin,Leptin
LEP.8484.24.3,P41159,Leptin,Leptin
LEP.8484.8.3,P41159,Leptin,Leptin
LEPR.5400.52.3,P48357,Leptin receptor,sLeptin R
LEPR.9566.103.3,P48357,Leptin receptor,LEPR
LGALS1.8046.9.3,P09382,Galectin-1,Galectin-1
LGALS2.3033.57.1,P05162,Galectin-2,Galectin-2
LGALS4.2982.82.2,P56470,Galectin-4,Galectin-4
LGALS7.9196.8.3,P47929,Galectin-7,Galectin-7
LGALS7.9400.40.3,P47929,Galectin-7,Galectin-7
LGALS8.4909.68.1,O00214,Galectin-8,Galectin-8
LGALS9.9197.4.3,O00182,Galectin-9,LEG9
LGI3.8003.57.3,Q8N145,Leucine-rich repeat LGI family member 3,LGI3
LGMN.3622.33.4,Q99538,Legumain,LGMN
LHB.8376.25.4,P01229,Lutropin subunit beta,LSHB
LIF.7790.21.3,P15018,Leukemia inhibitory factor,LIF
LIFR.5837.49.3,P42702,Leukemia inhibitory factor receptor,LIF sR
LILRA4.8299.66.3,P59901,Leukocyte immunoglobulin-like receptor subfamily A member 4,LIRA4
LILRA5.7787.25.3,A6NI73,Leukocyte immunoglobulin-like receptor subfamily A member 5,LIRA5
LILRA5.8766.29.3,A6NI73,Leukocyte immunoglobulin-like receptor subfamily A member 5,LIRA5
LILRA6.7059.14.3,Q6PI73,Leukocyte immunoglobulin-like receptor subfamily A member 6,LIRA6
LILRB1.5090.49.2,Q8NHL6,Leukocyte immunoglobulin-like receptor subfamily B member 1,ILT-2
LILRB2.5091.28.3,Q8N423,Leukocyte immunoglobulin-like receptor subfamily B member 2,ILT-4
LILRB2.5633.65.3,Q8N423,Leukocyte immunoglobulin-like receptor subfamily B member 2,ILT-4
LILRB3.11334.7.3,O75022,Leukocyte immunoglobulin-like receptor subfamily B member 3,LIRB3
LILRB4.6453.70.3,Q8NHJ6,Leukocyte immunoglobulin-like receptor subfamily B member 4,LIRB4
LILRB5.7015.8.3,O75023,Leukocyte immunoglobulin-like receptor subfamily B member 5,LIRB5
LIN7B.4238.4.2,Q9HAP6,Protein lin-7 homolog B,LIN7B
LINGO1.6620.82.3,Q96FE5,Leucine-rich repeat and immunoglobulin-like domain-containing nogo receptor-interacting protein 1,LIGO1
LINGO3.10827.67.3,P0C6S8,Leucine-rich repeat and immunoglobulin-like domain-containing nogo receptor-interacting protein 3,LIGO3
LIPF.9353.8.3,P07098,Gastric triacylglycerol lipase,LIPG
LIPK.6413.79.3,Q5VXJ0,Lipase member K,LIPK
LIPN.8097.77.3,Q5VXI9,Lipase member N,LIPN
LMAN2.7638.30.3,Q12907,Vesicular integral-membrane protein VIP36,"Lectin, mannose-binding 2"
LMAN2.9468.8.3,Q12907,Vesicular integral-membrane protein VIP36,"Lectin, mannose-binding 2"
LMAN2L.8013.9.3,Q9H0V9,VIP36-like protein,LMA2L
LMCD1.9530.6.3,Q9NZU5,LIM and cysteine-rich domains protein 1,LMCD1
LMNB1.3889.64.2,P20700,Lamin-B1,Lamin-B1
LMOD1.12504.26.3,P29536,Leiomodin-1,LMOD1
LOC652493.6561.77.3,,Ig Kappa chain V-I region HK102- like,Ig K chain V-I region HK102-like
LONP1.6398.12.3,P36776,"Lon protease homolog, mitochondrial",LONM
LOXL2.6504.65.3,Q9Y4K0,Lysyl oxidase homolog 2,Lysyl oxidase-like protein 2
LPAL2.9246.1.3,Q16609,Putative apolipoprotein(a)-like protein 2,"lipoprotein, Lp(a)-like 2"
LPCAT2.11175.45.3,Q7L5N7,Lysophosphatidylcholine acyltransferase 2,PCAT2
LPO.4801.13.3,P22079,Lactoperoxidase,PERL
LRCH4.11252.30.3,O75427,Leucine-rich repeat and calponin homology domain-containing protein 4,LRCH4
LRCH4.8984.28.3,O75427,Leucine-rich repeat and calponin homology domain-containing protein 4,LRCH4
LRFN1.7910.41.3,Q9P244,Leucine-rich repeat and fibronectin type III domain-containing protein 1,LRFN1
LRFN2.7200.4.3,Q9ULH4,Leucine-rich repeat and fibronectin type-III domain-containing protein 2,LRFN2
LRIG3.3322.52.2,Q6UXM1,Leucine-rich repeats and immunoglobulin-like domains protein 3,LRIG3
LRIT2.11716.28.3,A6NDA9,"Leucine-rich repeat, immunoglobulin-like domain and transmembrane domain-containing protein 2",LRIT2
LRIT3.11534.6.3,Q3SXY7,"Leucine-rich repeat, immunoglobulin-like domain and transmembrane domain-containing protein 3",LRIT3
LRIT3.11919.84.3,Q3SXY7,"Leucine-rich repeat, immunoglobulin-like domain and transmembrane domain-containing protein 3",LRIT3
LRMP.10704.91.3,Q12912,Lymphoid-restricted membrane protein,LRMP
LRP1.10699.52.3,Q07954,Prolow-density lipoprotein receptor-related protein 1,LRP1
LRP1.8601.167.3,Q07954,"Low-density lipoprotein receptor-related protein 1, soluble",sLRP1
LRP1.9182.3.3,Q07954,"Low-density lipoprotein receptor-related protein 1, soluble",sLRP1
LRP1B.11275.94.3,Q9NZR2,Low-density lipoprotein receptor-related protein 1B,LRP1B
LRP1B.7640.29.3,Q9NZR2,Low-density lipoprotein receptor-related protein 1B,LRP1B
LRP8.3323.37.1,Q14114,Low-density lipoprotein receptor-related protein 8,LRP8
LRPAP1.3640.14.3,P30533,alpha-2-macroglobulin receptor-associated protein,RAP
LRPAP1.8829.4.3,P30533,alpha-2-macroglobulin receptor-associated protein,RAP
LRPPRC.9046.46.3,P42704,"Leucine-rich PPR motif-containing protein, mitochondrial",LPPRC
LRRC15.6557.50.3,Q8TF66,Leucine-rich repeat-containing protein 15,LRC15
LRRC19.7014.27.3,Q9H756,Leucine-rich repeat-containing protein 19,LRC19
LRRC3.6917.49.3,Q9BY71,Leucine-rich repeat-containing protein 3,LRRC3
LRRC37A2.8897.3.3,A6NM11,Leucine-rich repeat-containing protein 37A2,L37A2
LRRC4B.11911.13.3,Q9NT99,Leucine-rich repeat-containing protein 4B,LRC4B
LRRC4C.9369.174.3,Q9HCJ2,Leucine-rich repeat-containing protein 4C,NGL1
LRRC74A.8389.8.3,Q0VAA2,Leucine-rich repeat-containing protein 74A,CN16B
LRRK2.10990.21.3,Q5S007,Leucine-rich repeat serine/threonine-protein kinase 2,LRRK2
LRRN1.11293.14.3,Q6UXK5,Leucine-rich repeat neuronal protein 1,LRRN1
LRRN1.11586.2.3,Q6UXK5,Leucine-rich repeat neuronal protein 1,LRRN1
LRRN3.10471.25.3,Q9H3W5,Leucine-rich repeat neuronal protein 3,LRRN3
LRRTM1.4452.9.2,Q86UE6,Leucine-rich repeat transmembrane neuronal protein 1,LRRT1
LRRTM2.6904.14.3,O43300,Leucine-rich repeat transmembrane neuronal protein 2,LRRT2
LRRTM4.6572.10.3,Q86VH4,Leucine-rich repeat transmembrane neuronal protein 4,LRRT4
LRRTM4.8646.61.3,Q86VH4,Leucine-rich repeat transmembrane neuronal protein 4,LRRT4
LRTM1.9368.64.3,Q9HBL6,Leucine-rich repeat and transmembrane domain-containing protein 1,LRTM1
LRTM2.8906.60.3,Q8N967,Leucine-rich repeat and transmembrane domain-containing protein 2,LRTM2
LSAMP.2999.6.2,Q13449,Limbic system-associated membrane protein,LSAMP
LST1.9531.24.3,O00453,Leukocyte-specific transcript 1 protein,LST1
LTA.4703.87.2,P01374,Lymphotoxin-alpha,TNF-b
LTA.LTB.3506.49.1,"P01374,Q06643",Lymphotoxin alpha2:beta1,Lymphotoxin a2/b1
LTA4H.3204.2.2,P09960,Leukotriene A-4 hydrolase,LKHA4
LTBP4.13133.73.3,Q8N2S1,Latent-transforming growth factor beta-binding protein 4,LTBP4
LTBR.2636.10.2,P36941,Tumor necrosis factor receptor superfamily member 3,Lymphotoxin b R
LTF.2780.35.2,P02788,Lactotransferrin,Lactoferrin
LTF.2795.23.3,P02788,Lactotransferrin,Lactoferrin
LY6G6C.6256.9.3,O95867,Lymphocyte antigen 6 complex locus protein G6c,LY66C
LY6G6D.6469.62.3,O95868,Lymphocyte antigen 6 complex locus protein G6d,LY66D
LY86.3623.84.4,O95711,Lymphocyte antigen 86,LY86
LY9.3324.51.1,Q9HBG7,T-lymphocyte surface antigen Ly-9,LY9
LYG1.9243.10.3,Q8N1E2,Lysozyme g-like protein 1,LYG1
LYN.3381.24.2,P07948,"Tyrosine-protein kinase Lyn, isoform B",LYNB
LYN.3453.87.2,P07948,Tyrosine-protein kinase Lyn,LYN
LYPD3.13107.9.3,O95274,Ly6/PLAUR domain-containing protein 3,LYPD3
LYPLAL1.12428.2.3,Q5VWZ2,Lysophospholipase-like protein 1,LYPL1
LYSMD3.10563.13.3,Q7Z3D4,LysM and putative peptidoglycan-binding domain-containing protein 3,LYSM3
LYSMD4.9106.87.3,Q5XG99,LysM and putative peptidoglycan-binding domain-containing protein 4,LYSM4
LYZ.4920.10.1,P61626,Lysozyme C,Lysozyme
LYZL2.6377.54.3,Q7Z4W2,Lysozyme-like protein 2,LYZL2
M6PR.10491.21.3,P20645,Cation-dependent mannose-6-phosphate receptor,MPRD
MACROD1.13653.335.3,Q9BQ69,O-acetyl-ADP-ribose deacetylase MACROD1,MACD1
MAD1L1.13618.15.3,Q9Y6D9,Mitotic spindle assembly checkpoint protein MAD1,MD1L1
MADCAM1.11258.41.3,Q13477,Mucosal addressin cell adhesion molecule 1,MAdCAM-1
MAGEA10.13610.9.3,P43363,Melanoma-associated antigen 10,MAGE-10
MAGEA3.12576.21.3,P43357,Melanoma-associated antigen 3,MAGE-3
MAGEB10.11456.2.3,Q96LZ2,Melanoma-associated antigen B10,MAGBA
MAGI2.14066.49.3,Q86UL8,"Membrane-associated guanylate kinase, WW and PDZ domain-containing protein 2",MAGI2
MAMDC2.6119.14.3,Q7Z304,MAM domain-containing protein 2,MAMC2
MAN1A1.11291.73.3,P33908,"Mannosyl-oligosaccharide 1,2-alpha-mannosidase IA",MA1A1
MAN1A2.9077.10.3,O60476,"Mannosyl-oligosaccharide 1,2-alpha-mannosidase IB",MA1A2
MAN1B1.7071.23.4,Q9UKM7,"Endoplasmic reticulum mannosyl-oligosaccharide 1,2-alpha-mannosidase",MA1B1
MAN2B2.9251.28.3,Q9Y2E5,Epididymis-specific alpha-mannosidase,MA2B2
MANBA.6382.17.3,O00462,Beta-mannosidase,MANBA
MANEA.8014.359.3,Q5SRI9,"Glycoprotein endo-alpha-1,2-mannosidase",MANEA
MANSC1.9557.5.3,Q9H8J5,MANSC domain-containing protein 1,MANS1
MANSC4.9578.263.3,A6NHS7,MANSC domain-containing protein 4,MANS4
MAP2K1.2864.2.3,Q02750,Dual specificity mitogen-activated protein kinase kinase 1,MEK1
MAP2K3.6151.18.3,P46734,Dual specificity mitogen-activated protein kinase kinase 3,MP2K3
MAP2K4.5242.37.3,P45985,Dual specificity mitogen-activated protein kinase kinase 4,MP2K4
MAP3K3.12990.39.3,Q99759,Mitogen-activated protein kinase kinase kinase 3,MAP3K3
MAP3K7.TAB1.5259.2.3,"O43318,Q15750",Mitogen-activated protein kinase kinase kinase 7:TGF-beta-activated kinase 1 and MAP3K7-binding protein 1 fusion,TAK1-TAB1
MAPK1.3115.64.2,P28482,Mitogen-activated protein kinase 1,MK01
MAPK13.5006.71.1,O15264,Mitogen-activated protein kinase 13,MK13
MAPK14.5007.1.1,Q16539,Mitogen-activated protein kinase 14,MAPK14
MAPK3.2855.49.2,P27361,Mitogen-activated protein kinase 3,ERK-1
MAPK8.3825.18.2,P45983,Mitogen-activated protein kinase 8,MK08
MAPK9.5244.12.3,P45984,Mitogen-activated protein kinase 9,JNK2
MAPKAPK2.3820.68.2,P49137,MAP kinase-activated protein kinase 2,MAPK2
MAPKAPK3.3822.54.2,Q16644,MAP kinase-activated protein kinase 3,MAPKAPK3
MAPKAPK5.3821.28.1,Q8IW41,MAP kinase-activated protein kinase 5,MAPK5
MAPKAPK5.8382.47.3,Q8IW41,MAP kinase-activated protein kinase 5,MAPK5
MASP1.3605.77.4,P48740,Mannan-binding lectin serine protease 1,MASP3
MATK.3823.9.1,P42679,Megakaryocyte-associated tyrosine-protein kinase,MATK
MATN2.3325.2.2,O00339,Matrilin-2,MATN2
MATN3.3208.2.4,O15232,Matrilin-3,MATN3
MATN4.7083.74.3,O95460,Matrilin-4,MATN4
MAZ.13436.54.3,P56270,Myc-associated zinc finger protein,MAZ
MB.3042.7.2,P02144,Myoglobin,Myoglobin
MBD4.3891.56.1,O95243,Methyl-CpG-binding domain protein 4,MBD4
MBL2.3000.66.1,P11226,Mannose-binding protein C,MBL
MCEE.9388.18.3,Q96PE7,"Methylmalonyl-CoA epimerase, mitochondrial",MCEE
MCEMP1.6283.60.3,Q8IX19,Mast cell-expressed membrane protein 1,MCEM1
MCF2L.13934.3.3,O15068,Guanine nucleotide exchange factor DBS,MCF2L
MCFD2.10476.23.3,Q8NI22,Multiple coagulation factor deficiency protein 2,MCFD2
MCL1.10358.33.3,Q07820,Induced myeloid leukemia cell differentiation protein Mcl-1,Mcl-1
MCTS1.12488.9.3,Q9ULC4,Malignant T-cell-amplified sequence 1,MCTS1
MDH1.3853.56.1,P40925,"Malate dehydrogenase, cytoplasmic",MDHC
MDK.2911.27.2,P21741,Midkine,Midkine
MDM1.7898.29.3,Q8TC05,Nuclear protein MDM1,MDM1
MDM2.4245.80.2,Q00987,E3 ubiquitin-protein ligase Mdm2,MDM2
MED1.3892.21.2,Q15648,Mediator of RNA polymerase II transcription subunit 1,MED-1
MED1.5470.69.2,Q15648,Mediator of RNA polymerase II transcription subunit 1,MED-1
MED4.14021.81.3,Q9NPJ6,Mediator of RNA polymerase II transcription subunit 4,MED4
MEF2C.8933.84.3,Q06413,Myocyte-specific enhancer factor 2C,MEF2C
MEGF10.11168.3.3,Q96KG7,Multiple epidermal growth factor-like domains protein 10,MEG10
MENT.5744.12.3,Q9BUN1,Protein MENT,CA056
MEPE.3209.69.1,Q9NQ76,Matrix extracellular phosphoglycoprotein,MEPE
MESDC2.5594.87.3,Q14696,LDLR chaperone MESD,MESD2
MET.2837.3.2,P08581,Hepatocyte growth factor receptor,Met
METTL1.12514.16.3,Q9UBP6,tRNA (guanine-N(7)-)-methyltransferase,METTL1
MFAP1.5606.24.3,P55081,Microfibrillar-associated protein 1,MFAP1
MFAP2.9294.45.3,P55001,Microfibrillar-associated protein 2,MFAP2
MFAP4.5636.10.3,P55083,Microfibril-associated glycoprotein 4,MFAP4
MFAP5.6440.31.3,Q13361,Microfibrillar-associated protein 5,MFAP5
MFGE8.4455.89.2,Q08431,Lactadherin,MFGM
MFN1.11364.18.3,Q8IWA4,Mitofusin-1,MFN1
MFNG.5605.77.3,O00587,"Beta-1,3-N-acetylglucosaminyltransferase manic fringe",MFNG
MGA.11587.5.3,Q8IWI9,MAX gene-associated protein,MGAP
MGAT1.10571.14.3,P26572,"Alpha-1,3-mannosyl-glycoprotein 2-beta-N-acetylglucosaminyltransferase",MGAT1
MGAT2.6909.40.3,Q10469,"Alpha-1,6-mannosyl-glycoprotein 2-beta-N-acetylglucosaminyltransferase",MGAT2
MGAT4B.7141.21.3,Q9UQ53,"Alpha-1,3-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase B",MGT4B
MGAT4C.7208.60.3,Q9UBM8,"Alpha-1,3-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase C",MGT4C
MIA.2687.2.1,Q16674,Melanoma-derived growth regulatory protein,MIA
MICALL2.12891.1.3,Q8IY33,MICAL-like protein 2,MILK2
MICB.5102.55.3,Q29980,MHC class I polypeptide-related sequence B,MICB
MID2.14249.68.3,Q9UJV3,Probable E3 ubiquitin-protein ligase MID2,TRIM1
MIF.5356.2.3,P14174,Macrophage migration inhibitory factor,MIF
MILR1.11173.29.3,Q7Z6M3,Allergin-1,MILR1
MINOS1.7956.11.3,Q5TGZ0,MICOS complex subunit MIC10,MOS1
MINPP1.5586.66.3,Q9UNW1,Multiple inositol polyphosphate phosphatase 1,MINP1
MLEC.6285.71.3,Q14165,Malectin,K0152
MLL2.13623.4.3,O14686,Histone-lysine N-methyltransferase 2D,MLL2
MLN.5631.83.3,P12872,Promotilin,MOTI
MLYCD.11538.216.3,O95822,"Malonyl-CoA decarboxylase, mitochondrial",DCMC
MMEL1.3627.71.4,Q495T6,Membrane metallo-endopeptidase-like 1,MMEL2
MMGT1.7225.51.3,Q8N4V1,Membrane magnesium transporter 1,MMGT1
MMP10.3743.1.2,P09238,Stromelysin-2,MMP-10
MMP10.8479.4.3,P09238,Stromelysin-2,MMP-10
MMP12.4496.60.2,P39900,Macrophage metalloelastase,MMP-12
MMP13.4925.54.2,P45452,Collagenase 3,MMP-13
MMP14.5002.76.1,P50281,Matrix metalloproteinase-14,MMP-14
MMP16.5268.49.3,P51512,Matrix metalloproteinase-16,MMP-16
MMP16.9719.145.3,P51512,Matrix metalloproteinase-16,MMP-16
MMP17.2838.53.1,Q9ULZ9,Matrix metalloproteinase-17,MMP-17
MMP2.4160.49.1,P08253,72 kDa type IV collagenase,MMP-2
MMP7.8475.15.3,P09237,Matrilysin,MMP-7
MMP8.2954.56.2,P22894,Neutrophil collagenase,MMP-8
MMP9.2579.17.5,P14780,Matrix metalloproteinase-9,MMP-9
MMRN2.11895.21.3,Q9H8L6,Multimerin-2,EMILIN-3
MMRN2.9723.105.3,Q9H8L6,Multimerin-2,EMILIN-3
MNX1.9576.58.3,P50219,Motor neuron and pancreas homeobox protein 1,MNX1
MOB1A.12426.19.3,Q9H8S9,MOB kinase activator 1A,MOL1B
MOCS3.14229.5.3,O95396,Adenylyltransferase and sulfurtransferase MOCS3,MOCS3
MPDZ.14036.116.3,O75970,Multiple PDZ domain protein,MPDZ
MPG.12438.127.3,P29372,DNA-3-methyladenine glycosylase,3MG
MPL.3473.78.2,P40238,Thrombopoietin Receptor,Thrombopoietin Receptor
MPO.2580.83.2,P05164,Myeloperoxidase,Myeloperoxidase
MPP6.13490.1.3,Q9NZW5,MAGUK p55 subfamily member 6,MPP6
